"date","time","size","version","os","country","ip_id"
"2019-10-05","04:59:45",84779582,"3.6.1","win","US",23
"2019-10-05","09:35:45",84774978,"3.6.1","win","AU",114
"2019-10-05","09:35:49",84775104,"3.6.1","win","GR",115
"2019-10-05","09:36:57",84681885,"3.6.1","win","AT",116
"2019-10-05","09:37:10",84774763,"3.6.1","win","AU",117
"2019-10-05","09:37:11",74889290,"3.3.3","osx","US",3
"2019-10-05","09:37:19",84780691,"3.6.1","win",NA,1
"2019-10-05","09:38:08",84775953,"3.6.1","win","US",118
"2019-10-05","09:38:25",84681884,"3.6.1","win",NA,1
"2019-10-05","09:38:45",84775500,"3.6.1","win","RU",119
"2019-10-05","09:39:02",84776238,"3.6.1","win","NZ",120
"2019-10-05","09:39:24",79428074,"3.6.1","osx",NA,1
"2019-10-05","09:40:35",968909,"3.3.1","osx","RU",121
"2019-10-05","20:00:35",79432146,"latest","osx","US",3
"2019-10-05","20:00:52",84921463,"3.6.1patched","win","US",37
"2019-10-05","20:01:28",84681888,"3.6.1","win",NA,1
"2019-10-05","20:01:31",79425980,"3.6.1","osx","US",122
"2019-10-05","20:01:56",84782529,"3.6.1","win","US",11
"2019-10-05","20:02:30",84921472,"3.6.1patched","win","US",37
"2019-10-05","20:03:38",84922576,"devel","win","US",37
"2019-10-05","20:03:46",84778331,"3.6.1","win",NA,1
"2019-10-05","20:03:53",74889290,"3.3.3","osx","US",3
"2019-10-05","20:03:43",73298403,"3.2.4","osx","US",3
"2019-10-05","20:04:01",84921482,"3.6.1patched","win","US",20
"2019-10-05","20:04:27",84921435,"3.6.1patched","win","US",11
"2019-10-05","11:51:06",84777674,"3.6.1","win","HK",123
"2019-10-05","11:52:34",84781716,"3.6.1","win","SE",124
"2019-10-05","11:53:04",84774841,"3.6.1","win",NA,1
"2019-10-05","11:53:23",79338817,"3.6.1","osx","IN",125
"2019-10-05","11:53:43",84774848,"3.6.1","win","VN",126
"2019-10-05","11:53:56",79338821,"latest","osx","US",3
"2019-10-05","11:54:32",79338810,"latest","osx","US",127
"2019-10-05","11:54:51",84775627,"3.6.1","win","GB",128
"2019-10-05","11:55:00",84930652,"3.6.1patched","win","US",37
"2019-10-05","11:55:30",84923144,"devel","win","US",37
"2019-10-05","11:55:14",79338807,"3.6.1","osx","IN",125
"2019-10-05","05:17:22",74889283,"3.3.3","osx","US",3
"2019-10-05","05:17:40",84774889,"3.6.1","win","KR",129
"2019-10-05","05:17:54",84780898,"3.6.1","win",NA,1
"2019-10-05","05:18:39",84681891,"3.6.1","win","CN",130
"2019-10-05","05:19:14",84775809,"3.6.1","win","CO",131
"2019-10-05","05:19:24",84681890,"3.6.1","win","US",132
"2019-10-05","05:19:32",84777044,"3.6.1","win","JP",133
"2019-10-05","05:19:52",84775028,"3.6.1","win",NA,1
"2019-10-05","05:20:24",84776994,"3.6.1","win","NO",134
"2019-10-05","06:06:03",54003196,"3.6.1","win","IR",135
"2019-10-05","06:06:19",79425844,"3.6.1","osx",NA,1
"2019-10-05","06:06:58",79338817,"latest","osx","US",3
"2019-10-05","06:08:42",34675204,"3.6.1","win","RU",136
"2019-10-05","06:09:10",79425863,"3.6.1","osx","AE",137
"2019-10-05","06:09:26",79338820,"latest","osx","US",3
"2019-10-05","06:09:49",84776220,"3.6.1","win","US",138
"2019-10-05","06:09:48",84779194,"3.6.1","win","AU",139
"2019-10-05","06:10:00",84775369,"3.6.1","win","RU",136
"2019-10-05","06:10:18",84681883,"3.6.1","win","AU",140
"2019-10-05","06:10:33",84785192,"3.6.1","win","IN",141
"2019-10-05","08:55:55",79426059,"3.6.1","osx","GB",142
"2019-10-05","08:56:02",79426862,"latest","osx","US",3
"2019-10-05","08:56:18",84928948,"3.6.1patched","win","US",12
"2019-10-05","08:56:57",84777161,"3.6.1","win","TR",143
"2019-10-05","08:57:05",82911164,"3.5.3","win","PL",81
"2019-10-05","08:57:26",84774770,"3.6.1","win","US",11
"2019-10-05","08:58:39",84775941,"3.6.1","win","RO",144
"2019-10-05","08:58:59",84925860,"3.6.1patched","win","US",20
"2019-10-05","08:59:49",1960049,"3.2.1","win","IR",145
"2019-10-05","08:59:54",25217623,"3.6.1","win","RU",146
"2019-10-05","08:50:46",84774859,"3.6.1","win","DE",147
"2019-10-05","08:51:07",78114110,"3.5.3","osx","US",3
"2019-10-05","08:51:14",84681884,"3.6.1","win","CN",148
"2019-10-05","08:51:14",84779087,"3.6.1","win",NA,1
"2019-10-05","08:51:27",73649344,"3.3.1","win","PL",81
"2019-10-05","08:51:36",84681884,"3.6.1","win","ID",149
"2019-10-05","08:51:41",79425958,"3.6.1","osx","JP",150
"2019-10-05","08:51:56",84908154,"devel","win","US",20
"2019-10-05","08:53:22",84925859,"3.6.1patched","win","US",12
"2019-10-05","08:53:51",84681893,"3.6.1","win","CN",151
"2019-10-05","08:54:15",82799508,"3.5.2","win","PL",81
"2019-10-05","08:54:29",74286546,"3.3.3","win","US",152
"2019-10-05","08:55:16",84774988,"3.6.1","win","SE",153
"2019-10-05","18:36:01",79425919,"3.6.1","osx","SE",154
"2019-10-05","18:36:25",79427567,"3.6.1","osx","CH",155
"2019-10-05","18:36:47",84777778,"3.6.1","win",NA,1
"2019-10-05","18:37:05",84927798,"3.6.1patched","win","US",23
"2019-10-05","18:37:53",79426971,"3.6.1","osx","GB",156
"2019-10-05","18:37:53",79433655,"latest","osx","US",3
"2019-10-05","18:38:08",84681884,"3.6.1","win","US",157
"2019-10-05","18:39:03",79425837,"latest","osx","US",3
"2019-10-05","18:39:02",84780123,"3.6.1","win","MA",158
"2019-10-05","18:40:18",0,"3.6.1","win","IT",159
"2019-10-05","18:40:21",84774956,"3.6.1","win",NA,1
"2019-10-05","06:45:39",79426256,"3.6.1","osx","GB",160
"2019-10-05","06:46:14",84776441,"3.6.1","win","NL",161
"2019-10-05","06:46:55",2344526,"3.6.1","win","PL",162
"2019-10-05","06:47:51",1352637,"3.6.1","win","PL",162
"2019-10-05","06:47:46",79338810,"latest","osx","US",3
"2019-10-05","06:48:06",9299685,"3.6.1","win","PL",162
"2019-10-05","06:48:19",84775947,"3.6.1","win","PL",163
"2019-10-05","06:48:28",84775303,"3.6.1","win","TR",164
"2019-10-05","06:48:55",84775154,"3.6.1","win","JP",165
"2019-10-05","06:49:04",84782722,"3.6.1","win","CN",166
"2019-10-05","06:49:57",84775041,"3.6.1","win","BG",167
"2019-10-05","06:50:09",79427120,"3.6.1","osx","ES",168
"2019-10-05","06:15:32",84918346,"devel","win","US",11
"2019-10-05","06:16:10",82456239,"3.4.4","win","US",23
"2019-10-05","06:16:41",84775819,"3.6.1","win",NA,1
"2019-10-05","06:17:01",84936854,"3.6.1patched","win","US",12
"2019-10-05","06:18:36",84784542,"3.6.1","win","US",12
"2019-10-05","06:19:47",84806339,"3.6.1","win","CN",169
"2019-10-05","06:19:41",84775752,"3.6.1","win","IN",170
"2019-10-05","06:19:45",84777570,"3.6.1","win",NA,1
"2019-10-05","06:20:23",84935545,"3.6.1patched","win","US",37
"2019-10-05","18:20:28",84786449,"3.6.1","win","MU",171
"2019-10-05","18:20:50",82910626,"3.5.3","win","KR",172
"2019-10-05","18:20:59",84779982,"3.6.1","win","PL",173
"2019-10-05","18:21:25",84921453,"3.6.1patched","win","US",12
"2019-10-05","18:21:43",84776009,"3.6.1","win",NA,1
"2019-10-05","18:22:11",84681884,"3.6.1","win","US",174
"2019-10-05","18:22:17",74889290,"3.3.3","osx","US",3
"2019-10-05","18:22:24",84928194,"3.6.1patched","win","US",11
"2019-10-05","18:22:37",84774833,"3.6.1","win","GB",175
"2019-10-05","18:23:22",84778247,"3.6.1","win","NL",176
"2019-10-05","18:23:29",84782250,"3.6.1","win","NL",177
"2019-10-05","18:23:45",84774957,"3.6.1","win","GB",178
"2019-10-05","18:24:00",79338817,"3.6.1","osx","US",179
"2019-10-05","18:24:27",84783231,"3.6.1","win",NA,1
"2019-10-05","18:24:31",84919267,"devel","win","US",12
"2019-10-05","18:24:44",84784230,"3.6.1","win",NA,1
"2019-10-05","18:25:07",84774966,"3.6.1","win",NA,1
"2019-10-05","23:56:11",74971679,"3.3.3","osx","NI",180
"2019-10-05","23:56:20",79426085,"3.6.1","osx","US",181
"2019-10-05","23:56:02",84926717,"3.6.1patched","win","US",37
"2019-10-05","23:59:00",84681891,"3.6.1","win","US",182
"2019-10-05","23:59:07",79338817,"latest",NA,"US",3
"2019-10-05","23:59:50",84776850,"3.6.1","win","NG",183
"2019-10-05","23:59:45",79338819,"latest",NA,"US",3
"2019-10-05","02:45:49",79338817,"latest","osx","US",3
"2019-10-05","02:46:58",84785568,"3.6.1","win",NA,1
"2019-10-05","02:48:00",83829316,"3.6.0","win","CN",184
"2019-10-05","02:48:21",84681891,"3.6.1","win","AU",185
"2019-10-05","19:51:02",84778063,"3.6.1","win",NA,1
"2019-10-05","19:51:04",79425922,"3.6.1","osx","PY",186
"2019-10-05","19:51:00",30497004,"3.6.1","src","US",187
"2019-10-05","19:51:16",84681883,"3.6.1","win",NA,1
"2019-10-05","19:51:29",84681891,"3.6.1","win","US",188
"2019-10-05","19:52:10",1048413,"3.2.1","osx","DE",189
"2019-10-05","19:52:03",1010854,"3.6.1","osx","DE",189
"2019-10-05","19:52:08",1746063,"3.3.3","osx","DE",189
"2019-10-05","19:52:05",84921379,"devel","win","US",11
"2019-10-05","19:52:51",84775738,"3.6.1","win",NA,1
"2019-10-05","19:53:21",63047627,"3.6.1","win","US",190
"2019-10-05","19:53:19",84775161,"3.6.1","win","US",191
"2019-10-05","19:53:39",84921437,"3.6.1patched","win","US",23
"2019-10-05","19:53:53",84681884,"3.6.1","win","US",192
"2019-10-05","19:54:14",84774807,"3.6.1","win","CA",193
"2019-10-05","19:54:15",84778308,"3.6.1","win","CA",193
"2019-10-05","19:54:26",84775912,"3.6.1","win","US",194
"2019-10-05","19:54:15",84774832,"3.6.1","win",NA,1
"2019-10-05","19:54:26",84921436,"3.6.1patched","win","US",12
